               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.042978,            0.015387,            0.033256,             0.83552,             0.51736,              0.8396,             0.57022,            0.037605,            0.014679,            0.035028,           0.0075559,           0.0075559,           0.0075559
                  81,            0.038485,            0.013387,            0.034324,             0.59748,               0.775,             0.84436,             0.57806,            0.038424,             0.01399,            0.034758,            0.007525,            0.007525,            0.007525
                  82,             0.03683,            0.014714,            0.034401,             0.52366,             0.73491,             0.83615,             0.54687,            0.036251,            0.013939,            0.034625,           0.0074941,           0.0074941,           0.0074941
                  83,            0.029548,            0.013639,            0.032665,             0.43963,               0.775,             0.70219,             0.35359,            0.044827,            0.015106,            0.034332,           0.0074631,           0.0074631,           0.0074631
                  84,            0.042572,            0.014787,            0.032678,             0.51484,               0.775,             0.77386,             0.43979,            0.037713,            0.014261,            0.034209,           0.0074322,           0.0074322,           0.0074322
                  85,            0.037996,             0.01347,            0.034347,             0.58321,               0.775,             0.77292,             0.44157,            0.039767,            0.014076,            0.034048,           0.0074013,           0.0074013,           0.0074013
                  86,            0.037632,            0.014452,            0.030597,             0.60381,               0.775,             0.80319,             0.54494,            0.034524,            0.013983,            0.033797,           0.0073703,           0.0073703,           0.0073703
                  87,            0.031082,            0.013058,            0.031882,             0.52123,              0.7456,             0.69404,             0.41378,            0.043133,            0.013981,            0.033559,           0.0073394,           0.0073394,           0.0073394
                  88,            0.039289,            0.013171,            0.031331,             0.57069,             0.69545,             0.79276,             0.57719,            0.033433,            0.013039,            0.033513,           0.0073084,           0.0073084,           0.0073084
                  89,            0.033867,            0.014579,            0.031947,             0.65536,             0.65833,             0.78084,             0.52462,              0.0346,            0.013714,             0.03322,           0.0072775,           0.0072775,           0.0072775
                  90,             0.03644,            0.014026,            0.033524,             0.56516,             0.70869,             0.79011,             0.51748,             0.03629,            0.013752,            0.032927,           0.0072466,           0.0072466,           0.0072466
                  91,            0.031956,            0.013522,            0.030322,             0.54626,               0.775,             0.71138,             0.42648,            0.039042,            0.014229,            0.032597,           0.0072156,           0.0072156,           0.0072156
                  92,            0.040507,            0.013742,            0.030968,             0.50898,             0.62633,             0.74974,             0.48774,            0.033362,            0.013784,            0.032616,           0.0071847,           0.0071847,           0.0071847
                  93,            0.035444,            0.014587,            0.030088,             0.55547,               0.625,             0.72993,             0.47083,            0.035499,            0.013561,            0.032478,           0.0071538,           0.0071538,           0.0071538
                  94,            0.035931,            0.012786,            0.029767,             0.80908,             0.47631,             0.71852,             0.39362,            0.036918,            0.013567,            0.032391,           0.0071228,           0.0071228,           0.0071228
                  95,            0.032425,            0.015512,            0.029201,             0.62889,             0.77261,             0.79234,               0.509,            0.036603,            0.013567,             0.03187,           0.0070919,           0.0070919,           0.0070919
                  96,            0.038958,            0.014859,            0.028411,             0.65889,             0.73055,             0.79442,             0.58325,            0.035042,            0.013458,            0.031558,           0.0070609,           0.0070609,           0.0070609
                  97,            0.034259,            0.014477,            0.029077,             0.53524,               0.775,             0.74475,              0.4451,            0.035841,            0.013931,            0.031554,             0.00703,             0.00703,             0.00703
                  98,            0.033582,            0.014349,            0.029933,             0.64788,              0.7605,             0.76827,             0.49057,            0.033369,            0.013168,            0.031389,           0.0069991,           0.0069991,           0.0069991
                  99,             0.03031,            0.014387,            0.028262,             0.53202,               0.775,             0.70617,             0.39292,            0.039686,            0.013624,             0.03111,           0.0069681,           0.0069681,           0.0069681
                 100,            0.037112,            0.011961,            0.026722,             0.60813,               0.775,             0.77938,             0.52172,            0.033643,            0.012905,            0.031055,           0.0069372,           0.0069372,           0.0069372
                 101,            0.033847,            0.013051,            0.027031,             0.59739,             0.75272,             0.72982,             0.41411,            0.037543,            0.013237,            0.030936,           0.0069063,           0.0069063,           0.0069063
                 102,            0.038298,            0.014204,             0.02869,             0.71931,             0.77211,             0.81474,             0.53201,            0.035039,            0.012743,            0.030807,           0.0068753,           0.0068753,           0.0068753
                 103,            0.031746,            0.012491,            0.028107,             0.68719,               0.775,             0.73705,             0.46127,            0.041607,            0.013556,            0.030304,           0.0068444,           0.0068444,           0.0068444
                 104,            0.041078,            0.013477,            0.028163,             0.66288,             0.76606,             0.74004,             0.49619,            0.031511,            0.012682,            0.029938,           0.0068134,           0.0068134,           0.0068134
                 105,            0.033146,            0.013957,            0.026519,             0.54832,               0.775,             0.71557,             0.48213,            0.039884,            0.013123,             0.02964,           0.0067825,           0.0067825,           0.0067825
                 106,            0.036143,            0.012616,            0.027534,             0.72579,             0.77058,             0.81276,             0.56834,            0.032971,            0.012787,            0.029425,           0.0067516,           0.0067516,           0.0067516
                 107,             0.03065,            0.012358,            0.027752,             0.69803,               0.775,             0.80872,             0.53777,            0.040895,            0.013353,            0.029123,           0.0067206,           0.0067206,           0.0067206
                 108,            0.039451,             0.01347,            0.026403,             0.63875,             0.76771,             0.79565,             0.46571,            0.035103,            0.012568,             0.02905,           0.0066897,           0.0066897,           0.0066897
                 109,            0.035481,            0.013568,            0.026806,             0.68938,               0.775,             0.81986,             0.55231,            0.034792,            0.012695,            0.028931,           0.0066587,           0.0066587,           0.0066587
                 110,            0.035502,            0.012353,            0.027822,             0.73448,              0.7643,             0.80397,             0.50904,            0.034743,             0.01273,            0.028651,           0.0066278,           0.0066278,           0.0066278
                 111,            0.029171,            0.012322,            0.027133,             0.66889,               0.775,             0.83112,             0.45701,            0.041001,            0.013428,            0.028619,           0.0065969,           0.0065969,           0.0065969
